Vocab,Pinyin,Meaning,Example,Example_Meaning
啊,ā,interjection of surprise; Ah!; Oh!,啊，没想到你居然会在这里！,"Ah, I didn't expect you to be here!"
哎,āi,hey!; (interjection used to attract attention or to express surprise or disapprobation),哎，你等一下！我好像把钥匙忘在桌子上了。,"Hey, wait a minute! I think I left my keys on the table."
唉,āi,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh",唉，真没办法，那就按你说的做吧。,"Sigh, there's nothing to be done then; I'll just go along with your plan."
矮,ǎi,low; short (in length),他个子太矮了，够不到书架顶层的书。,He is too short to reach the books on the top shelf.
爱,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),我爱在周末早晨去公园散步，感觉特别放松。,I love going for a morning walk in the park on weekends; it feels so relaxing.
爱情,ài qíng,romance; love (romantic),真正的爱情不仅仅是激情，更是相互理解和包容。,"True love is not just about passion, but also about mutual understanding and tolerance."
安,Ān,surname An,安先生是一位非常有耐心的中文老师。,Mr. An is a very patient Chinese teacher.
安静,ān jìng,quiet; peaceful; calm,图书馆里很安静，大家都可以专心看书。,quiet; peaceful; calm
安排,ān pái,to arrange; to plan; to set up; arrangements; plans,你能帮我安排一下周末的行程吗？,Can you help me arrange the itinerary for the weekend?
安全,ān quán,safe; secure; safety; security,为了您的安全，请系好安全带。,"For your safety, please fasten your seatbelt."
安慰,ān wèi,to comfort; to console,看到妹妹因为考试失利而难过，我立刻走过去安慰她。,"Seeing my younger sister upset over her poor exam results, I immediately walked over to comfort her."
安装,ān zhuāng,to install; to erect; to fix; to mount; installation,我昨天请专业师傅上门安装了新买的空调，今天家里终于凉快下来了。,"Yesterday, I hired a professional technician to come and install the newly purchased air conditioner, and our house finally feels cool today."
按,àn,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment,请按说明书上的步骤操作。,according to / based on
按摩,àn mó,massage; to massage,长时间坐在电脑前工作会让肩颈酸痛，所以很多人会定期去做一次专业按摩来放松肌肉。,"Working long hours sitting at a computer can cause neck and shoulder soreness, so many people go for professional massages regularly to relax their muscles."
按照,àn zhào,according to; in accordance with; in the light of; on the basis of,请大家按照流程填写这份申请表。,Please fill out this application form according to the procedure.
案件,àn jiàn,case; instance,警方正在全力调查这起案件，希望能尽快查明真相。,The police are investigating this case with full force and hope to clarify the truth as soon as possible.
暗,àn,variant of 暗,这间屋子没有窗户，白天也很暗。,"This room has no windows, so it remains quite dark even during the day."
八,bā,eight; 8,我们班一共有八名学生。,There are a total of eight students in our class.
拔,bá,to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize,周末，妈妈带我去菜园里拔萝卜。,"On the weekend, my mom took me to the vegetable garden to pull up radishes."
把,bǎ,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})",请把手机调成静音模式，以免打扰到别人。,Please put your phone on silent mode to avoid disturbing others.
把握,bǎ wò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),经过充分的准备，我对这次面试已经很有把握了。,"After thorough preparation, I am very confident about this interview."
爸,bà,father; dad; pa; papa,爸，周末我们一起去爬山好吗？,"Dad, shall we go hiking together this weekend?"
爸爸,bà ba,(coll.) father; dad,我爸爸今天下班很早，我们一家人一起去吃了晚饭。,"My dad got off work early today, so our whole family went out for dinner together."
吧,bā,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧",这家新开的酒吧提供精酿啤酒和免费Wi-Fi，是朋友聚会的理想场所。,"This newly opened bar offers craft beer and free Wi-Fi, making it an ideal place for friends to gather."
