Vocab,Pinyin,Meaning,Example,Example_Meaning,Image
啊,ā,interjection of surprise,啊，是你！,"Ah, it's you!",
哎,āi,hey!,哎，你来了。,"Hey, you're here.",
唉,āi,"interjection or grunt of agreement or recognition (e.g. yes, it's me!)",唉，是我。,"Ah, it's me.","<img src=""recognition.jpg"" />"
矮,ǎi,(of a person) short,他个子很矮。,He is very short.,"<img src=""short.jpg"" />"
爱,ài,to love; to be fond of; to like,我爱吃苹果。,I like apples.,"<img src=""love.jpg"" />"
爱情,ài qíng,romance; love (romantic),你相信爱情吗？,Do you believe in love?,"<img src=""romantic.jpg"" />"
安静,ān jìng,quiet,这里很安静。,It's very quiet here.,"<img src=""quiet.jpg"" />"
安排,ān pái,to arrange,我来安排时间。,I'll arrange the schedule.,"<img src=""arrange.jpg"" />"
安全,ān quán,safe; secure,注意安全。,Stay safe.,"<img src=""secure.jpg"" />"
安慰,ān wèi,to comfort; to console,请安慰我。,Please comfort me.,"<img src=""comfort.jpg"" />"
安装,ān zhuāng,to install,请安装这个软件。,Please install this software.,
按,àn,to press,请按按钮。,Please press the button.,
按摩,àn mó,massage,我们去按摩吧。,Let's go get a massage.,
按照,àn zhào,according to; in accordance with; on the basis of,按照你说的做。,Do as you said.,"<img src=""basis.jpg"" />"
案件,àn jiàn,case,这个案件很简单。,This case is very simple.,"<img src=""case.jpg"" />"
八,bā,eight,我有八个苹果。,I have eight apples.,
拔,bá,to pull up,我去拔牙。,I am going to pull out a tooth.,"<img src=""pull.jpg"" />"
把,bǎ,to hold; to grasp,把门关上。,Close the door.,"<img src=""grasp.jpg"" />"
把握,bǎ wò,to grasp (also fig.),我有把握。,I'm sure.,"<img src=""also.jpg"" />"
爸,bà,father,爸，我回来了。,"Dad, I'm back.",
爸爸,bà ba,(coll.) father; dad,爸爸在家吗？,Is dad at home?,
吧,bā,"bar (loanword) (serving drinks, or providing Internet access etc)",我在酒吧等你。,I am waiting for you at the bar.,"<img src=""access.jpg"" />"
罢了,bà le,"a modal particle indicating (that's all, only, nothing much)",普通朋友罢了。,Just ordinary friends.,"<img src=""particle.jpg"" />"
白色,bái sè,white,我喜欢白色。,I like white.,
白天,bái tiān,daytime,白天我上班。,I work during the day.,"<img src=""daytime.jpg"" />"
摆,bǎi,to arrange,把书摆在桌上。,Put the book on the table.,
摆脱,bǎi tuō,to break away from,我想摆脱烦恼。,I want to get rid of my worries.,"<img src=""from.jpg"" />"
搬,bān,to move (i.e. relocate oneself),我明天搬家。,I'm moving tomorrow.,
板,bǎn,board,买块木板吧。,Let's buy a wooden board.,"<img src=""board.jpg"" />"
版,bǎn,a register,这是最新版吗？,Is this the latest version?,"<img src=""register.jpg"" />"
办,bàn,"to take care of (a matter); to deal with (a task, procedure etc); to organize (an event)",我来办。,I'll handle it.,"<img src=""organize.jpg"" />"
办法,bàn fǎ,way of handling sth; means; measure; (practical) solution to a problem,别担心，有办法。,"Don't worry, there's a way.","<img src=""practical.jpg"" />"
办公室,bàn gōng shì,office; business premises,他在办公室吗？,Is he in the office?,
半,bàn,half,我喝了半杯水。,I drank half a cup of water.,"<img src=""half.jpg"" />"
半场,bàn chǎng,half of a game or contest,上半场结束了。,The first half is over.,"<img src=""contest.jpg"" />"
伴,bàn,partner; companion; comrade; associate,路上有个伴真好。,It's great to have a companion.,"<img src=""associate.jpg"" />"
扮演,bàn yǎn,to play the role of,他喜欢扮演超人。,He likes to play the role of Superman.,"<img src=""role.jpg"" />"
帮,bāng,old variant of 幫|帮[bang1],请帮帮我。,Please help me.,"<img src=""old.jpg"" />"
帮忙,bāng máng,to help,你能帮忙吗？,Can you help?,"<img src=""help.jpg"" />"
帮助,bāng zhù,assistance; aid,谢谢你的帮助。,Thank you for your help.,
绑架,bǎng jià,to kidnap,别绑架小孩。,Don't kidnap children.,"<img src=""kidnap.jpg"" />"
棒,bàng,stick,你做得真棒！,You did great!,
包括,bāo kuò,to comprise,价格包括午餐。,The price includes lunch.,"<img src=""comprise.jpg"" />"
宝宝,bǎo bao,darling; baby,宝宝真可爱。,Baby is so cute.,
宝贝,bǎo bèi,treasured object,你是我的宝贝。,You are my darling.,"<img src=""object.jpg"" />"
保,Bǎo,Bulgaria (abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]),请保重身体。,Please take care of yourself.,
保安,bǎo ān,Bonan ethnic group,我是保安。,I am a security guard.,"<img src=""ethnic.jpg"" />"
保持,bǎo chí,to keep,请保持安静。,Please keep quiet.,"<img src=""keep.jpg"" />"
保存,bǎo cún,to conserve; to preserve; to keep; to store; (computing) to save (a file etc),请保存文件。,Please save the file.,"<img src=""conserve.jpg"" />"
保护,bǎo hù,to protect,我们要保护动物。,We should protect animals.,"<img src=""protect.jpg"" />"
保留,bǎo liú,to keep,请保留这张票。,Please keep this ticket.,
保险,bǎo xiǎn,insurance,这样比较保险。,This is safer.,
保障,bǎo zhàng,to ensure,这能保障你的安全。,This ensures your safety.,"<img src=""ensure.jpg"" />"
保证,bǎo zhèng,guarantee,我保证准时到。,I promise to arrive on time.,"<img src=""guarantee.jpg"" />"
报,bào,to report; to inform; to announce,他报了警。,He called the police.,"<img src=""announce.jpg"" />"
报道,bào dào,to report (news),电视正在报道比赛。,The TV is reporting on the match.,"<img src=""report.jpg"" />"
报告,bào gào,to inform,我报告一下进度。,I'll give a quick progress report.,"<img src=""inform.jpg"" />"
报警,bào jǐng,to sound an alarm,我马上报警。,I will call the police right away.,"<img src=""sound.jpg"" />"
报纸,bào zhǐ,newspaper,他在看报纸。,He is reading the newspaper.,
抱,bào,to hold,妈妈抱我。,Mom hugs me.,"<img src=""hold.jpg"" />"
抱怨,bào yuàn,to complain,别抱怨了。,Stop complaining.,"<img src=""complain.jpg"" />"
暴力,bào lì,violence,别用暴力！,Don't use violence!,"<img src=""violence.jpg"" />"
暴露,bào lù,to expose,别暴露你的计划。,Don't expose your plan.,"<img src=""expose.jpg"" />"
爆,bào,to explode; to burst,气球爆了。,The balloon popped.,"<img src=""explode.jpg"" />"
爆发,bào fā,to break out; to erupt; to explode; to burst out,火山突然爆发。,The volcano suddenly erupted.,"<img src=""burst.jpg"" />"
爆炸,bào zhà,explosion,煤气爆炸了。,The gas exploded.,
杯,bēi,cup,我要一杯水。,I want a cup of water.,
悲剧,bēi jù,tragedy,结局是个悲剧。,The ending is a tragedy.,"<img src=""tragedy.jpg"" />"
悲伤,bēi shāng,sad; sorrowful,他看起来很悲伤。,He looks very sad.,
北,běi,north,他往北走。,He walks north.,
背后,bèi hòu,behind,我站你背后。,I'll stand behind you.,"<img src=""behind.jpg"" />"
背景,bèi jǐng,background; backdrop; context,他的背景很普通。,His background is very ordinary.,"<img src=""background.jpg"" />"
倍,bèi,"(two, three etc) -fold",价格翻了一倍。,The price doubled.,"<img src=""two.jpg"" />"
被,bèi,quilt,我的包被偷了。,My bag was stolen.,
被告,bèi gào,(law) the defendant; the accused,被告今天出庭了。,The defendant appeared in court today.,"<img src=""law.jpg"" />"
本,běn,(bound form) root; stem,我买了一本书。,I bought a book.,"<img src=""stem.jpg"" />"
本地,běn dì,local,这是本地的菜。,This is local food.,"<img src=""local.jpg"" />"
本来,běn lái,original,我本来想去。,I originally wanted to go.,"<img src=""original.jpg"" />"
本人,běn rén,I; me; myself,本人就是。,That's me.,
本身,běn shēn,itself,这问题本身不难。,The problem itself isn't hard.,
笨,bèn,stupid,我太笨了。,I'm so stupid.,
鼻子,bí zi,nose,我鼻子疼。,My nose hurts.,
比,Bǐ,Belgium,我去过比。,I have been to Belgium.,
比较,bǐ jiào,to compare,今天比较冷。,It's quite cold today.,"<img src=""compare.jpg"" />"
比如说,bǐ rú shuō,for example,比如说，我喜欢喝茶。,"For example, I like drinking tea.","<img src=""example.jpg"" />"
比赛,bǐ sài,competition (sports etc),我们去看比赛吧。,Let's go watch the match.,
彼此,bǐ cǐ,each other; one another,我们彼此信任。,We trust each other.,
笔,bǐ,"writing brush; writing implement (pen, pencil etc) (CL:支[zhi1],枝[zhi1])",请给我一支笔。,Please give me a pen.,"<img src=""implement.jpg"" />"
笔记本,bǐ jì běn,notebook (stationery) (CL:本[ben3]),我买了一个新笔记本。,I bought a new notebook.,
必,bì,certainly,他必会来。,He will certainly come.,
必须,bì xū,to have to,你必须去。,You must go.,
