Vocab,Pinyin,Meaning
啊,ā,interjection of surprise; Ah!; Oh!
哎,āi,hey!; (interjection used to attract attention or to express surprise or disapprobation)
唉,āi,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh"
矮,ǎi,low; short (in length)
爱,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
爱情,ài qíng,romance; love (romantic)
安,Ān,surname An
安静,ān jìng,quiet; peaceful; calm
安排,ān pái,to arrange; to plan; to set up; arrangements; plans
安全,ān quán,safe; secure; safety; security
安慰,ān wèi,to comfort; to console
安装,ān zhuāng,to install; to erect; to fix; to mount; installation
按,àn,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment
按摩,àn mó,massage; to massage
按照,àn zhào,according to; in accordance with; in the light of; on the basis of
案件,àn jiàn,case; instance
暗,àn,variant of 暗
八,bā,eight; 8
拔,bá,to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize
把,bǎ,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})"
把握,bǎ wò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)
爸,bà,father; dad; pa; papa
爸爸,bà ba,(coll.) father; dad
吧,bā,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧"
罢了,bà le,"a modal particle indicating (that's all, only, nothing much)"
白,Bái,surname Bai
白色,bái sè,white; fig. reactionary; anti-communist
白天,bái tiān,daytime; during the day; day
百,Bǎi,surname Bai
摆,bǎi,to arrange; to exhibit; to move to and fro; a pendulum
摆脱,bǎi tuō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself
班,Bān,surname Ban
搬,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately
板,bǎn,board; plank; plate; shutter; table tennis bat; clappers (music); accented beat in Chinese music; hard; stiff; to stop smiling or look serious
版,bǎn,a register; block of printing; edition; version; page
办,bàn,to do; to manage; to handle; to go about; to run; to set up; to deal with
办法,bàn fǎ,means; method; way (of doing sth)
办公室,bàn gōng shì,office; business premises; bureau
半,bàn,half; semi-; incomplete; (after a number) and a half
半场,bàn chǎng,half of a game or contest; half-court
伴,bàn,partner; companion; comrade; associate; to accompany
扮演,bàn yǎn,to play the role of; to act
帮,bāng,old variant of 帮
帮忙,bāng máng,to help; to lend a hand; to do a favor; to do a good turn
帮助,bāng zhù,assistance; aid; to help; to assist
绑架,bǎng jià,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking
棒,bàng,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race
包,Bāo,surname Bao
包括,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of
宝,bǎo,variant of 宝
宝宝,bǎo bao,darling; baby
宝贝,bǎo bèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character
保,Bǎo,Bulgaria; Bulgarian; abbr. for 保加利亚
保安,bǎo ān,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard
保持,bǎo chí,to keep; to maintain; to hold; to preserve
保存,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing)
保护,bǎo hù,to protect; to defend; to safeguard; protection
保留,bǎo liú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later
保险,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to
保障,bǎo zhàng,to ensure; to guarantee; to safeguard
保证,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge
报,bào,to announce; to inform; report; newspaper; recompense; revenge
报道,bào dào,to report (news); report
报告,bào gào,to inform; to report; to make known; report; speech; talk; lecture
报警,bào jǐng,to sound an alarm; to report sth to the police
报纸,bào zhǐ,newspaper; newsprint
抱,bào,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely
抱怨,bào yuàn,to complain; to grumble; to harbor a complaint; to feel dissatisfied
暴力,bào lì,violence; force; violent
暴露,bào lù,to expose; to reveal; to lay bare; also pr. [pù lù]
爆,bào,to explode or burst; to quick fry or quick boil
爆发,bào fā,to break out; to erupt; to explode; to burst out
爆炸,bào zhà,explosion; to explode; to blow up; to detonate
杯,bēi,"cup; trophy cup; classifier for certain containers of liquids: glass, cup"
悲剧,bēi jù,tragedy
悲伤,bēi shāng,sad; sorrowful
北,běi,north; (classical) to be defeated
背,bēi,variant of 背
背后,bèi hòu,behind; at the back; in the rear; behind sb's back
背景,bèi jǐng,background; backdrop; context; (fig.) powerful backer
倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply"
被,bèi,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)"
被告,bèi gào,defendant
本,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc"
本地,běn dì,local; this locality
本来,běn lái,original; originally; at first; it goes without saying; of course
本人,běn rén,I; me; myself; oneself; yourself; himself; herself; the person concerned
本身,běn shēn,itself; in itself; per se
笨,bèn,stupid; foolish; silly; slow-witted; clumsy
逼,bī,variant of 逼; to compel; to pressure
鼻子,bí zi,nose
比,Bǐ,Belgium; Belgian; abbr. for 比利时
比较,bǐ jiào,to compare; to contrast; comparatively; relatively; quite; comparison
比如,bǐ rú,for example; for instance; such as
比如说,bǐ rú shuō,for example
比赛,bǐ sài,competition (sports etc); match; to compete
彼此,bǐ cǐ,each other; one another
笔,bǐ,"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals"
笔记本,bǐ jì běn,notebook (stationery); notebook (computing)
必,bì,certainly; must; will; necessarily
必须,bì xū,to have to; must; compulsory; necessarily
必要,bì yào,necessary; essential; indispensable; required
