Vocab,Pinyin,Meaning,Example,Example_Meaning
啊,ā,interjection of surprise; Ah!; Oh!,啊，是你！,"Ah, it's you!"
哎,āi,hey!; (interjection used to attract attention or to express surprise or disapprobation),哎，你来了。,"Hey, you're here."
唉,āi,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh",唉，是我。,"Ah, it's me."
矮,ǎi,low; short (in length),他个子很矮。,He is very short.
爱,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),我爱吃苹果。,I like apples.
爱情,ài qíng,romance; love (romantic),你相信爱情吗？,Do you believe in love?
安,Ān,surname An,我姓安。,My surname is An.
安静,ān jìng,quiet; peaceful; calm,这里很安静。,It's very quiet here.
安排,ān pái,to arrange; to plan; to set up; arrangements; plans,我来安排时间。,I'll arrange the schedule.
安全,ān quán,safe; secure; safety; security,注意安全。,Stay safe.
安慰,ān wèi,to comfort; to console,请安慰我。,Please comfort me.
安装,ān zhuāng,to install; to erect; to fix; to mount; installation,请安装这个软件。,Please install this software.
按,àn,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment,请按按钮。,Please press the button.
按摩,àn mó,massage; to massage,我们去按摩吧。,Let's go get a massage.
按照,àn zhào,according to; in accordance with; in the light of; on the basis of,按照你说的做。,Do as you said.
案件,àn jiàn,case; instance,这个案件很简单。,This case is very simple.
暗,àn,variant of 暗,天暗了，回家吧。,"It's getting dark, let's go home."
八,bā,eight; 8,我有八个苹果。,I have eight apples.
拔,bá,to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize,我去拔牙。,I am going to pull out a tooth.
把,bǎ,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})",把门关上。,Close the door.
把握,bǎ wò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),我有把握。,I'm sure.
