Word,Meaning,Pinyin,Example,Translation
关怀,quan tâm,guānhuái,关怀备至,săn sóc chu đáo mọi bề
端午节,Tết Đoan Ngọ,duānwǔ jié,,
悲惨,bi thảm,bēicǎn,,
声调,"thanh ddieuj, giọng",shēngdiào,,
固定,cố định,gùdìng,固定职业,nghề nghiệp cố định
严峻,"nghiêm túc, nghiêm khắc",yánjùn,人生最严峻的考验，常常不在逆境之中，而在成功之后。,Thử thách gay gắt nhất của cuộc đời thường không ở trong nghịch cảnh mà ở sau thành công.
入口,lối vào,rùkǒu,车站入口。,cửa vào nhà ga.
过问,"hỏi đến, can dự",guòwèn,过问政治,quan tâm đến chính trị
利用,lợi dụng,lìyòng,废物利用。,sử dụng phế liệu.
天气,"khí hậu, thời tiết",tiānqì,天气预报,dự báo thời tiết
朵,đóa hoa,duo,两朵牡丹,hai đoá mẫu đơn
香蕉,chuối,xiāngjiāo,,
激励,"khích lệ, khuyến khích",jīlì,激励将士,khích lệ tướng sĩ
斩钉截铁,"chém đinh chặt sắt, quyết định cứng rắn không do<br>dự",zhǎndīngjiétiě,,
迷信,điều mê tín,míxìn,破除迷信，解放思想。,"bài trừ mê tín, giải phóng tư tưởng."
土豆,khoai tây,tǔdòu,,
工具,công cụ,gōngjù,语言是人们交流思想的工具。,ngôn ngữ là công cụ truyền đạt tư tưởng của con người.
化学,hóa học,huàxué,这把梳子是化学的。,lược này làm bằng nhựa.
杂交,"lai giống, lai ghép",zájiāo,,
懒惰,lười biếng,lǎnduò,这人太懒惰了，在家里什么事都不愿意干 。,"anh ấy thật là lười biếng, ở trong nhà chẳng chịu làm gì cả."
创业,"sáng nghiệp,lập nghiệp",chuàngyè,不要忘记前人创业的艰难。,đừng quên đi những gian khổ của lớp người đi trước lập nên sự nghiệp.
局面,cục diện,júmiàn,稳定的局面。,cục diện ổn định.
追悼,truy điệu,zhuīdào,追悼会,lễ truy điệu
地步,"mức, bước",dìbù,真没想到他会落到这个地步。,thật không ngờ anh ấy lại đến nông nỗi này.
事件,sự kiện,shìjiàn,,
捍卫,"bảo vệ, giữ gìn",hànwèi,捍卫领空,bảo vệ vùng trời
突出,"xông ra, nổi bật",túchū,突出重围,xông ra ngoài vòng vây.
小伙子,thanh niên,xiǎohuǒzi,,
严禁,cấm,yánjìn,,
摇摆,lung lay,yáobǎi,池塘里的荷叶迎风摇摆。,lá sen trong hồ đong đưa trước gió.
剧烈,"mạnh, kịch liệt, dội",jùliè,饭后不宜做剧烈运动。,sau khi ăn cơm không nên vận động mạnh.
叶子,lá cây,yèzi,,
机灵,thông minh,jīling,这孩子怪机灵的。,đứa bé này rất thông minh lanh lợi.
逐步,"lần lượt, từng bước",zhúbù,逐步深入,xâm nhập từng bước
诉讼,tố tụng,sùsòng,,
端正,"cân đối, đều đặn, ngay ngắn",duānzhèng,五官端正,mặt mũi cân đối
扎,"chích, châm, đâm",zhā,扎彩牌楼,dựng cổng chào
流传,lưu truyền,liúchuán,消息很快就流传开了。,tin tức nhanh chóng được truyền đi.
捆绑,"trói, buộc, ràng buộc",kǔnbǎng,,
补偿,"bồi thường, đền bù",bǔcháng,,
要素,yếu tố,yàosù,,
其中,trong số,qízhōng,全社有果树五万棵，其中梨树占30%。,"toàn hợp tác xã có năm vạn cây ăn quả, trong đó lê chiếm 30%."
处境,"cảnh ngộ, hoàn cảnh",chǔjìng,处境困难。,cảnh ngộ khó khăn.
完善,hoàn thiện,wánshàn,,
人口,dân số,rénkǒu,这个区的人口有一百三十多万。,vùng này có dân số hơn một triệu ba trăm ngàn người.
看,xem,kàn,一个工人可以看好几台机器。,một công nhân có thể trông coi nhiều cỗ máy.
爷爷,ông nội,yéyé,,
力所能及,khả năng cho phép,lìsuǒnéngjí,让学生参加一些力所能及的劳动。,hãy để học sinh tham gia vào những lao động nằm trong khả năng
欧洲,châu âu,ōuzhōu,,
可以,có thể,kěyǐ,不会的事情，用心去学， 是可以学会的。,"những cái không biết, cố gắng học thì có thể học được。"
诊断,chẩn đoán,zhěnduàn,诊断书,giấy chẩn đoán bệnh.
卡车,xe tải,kǎchē,,
立刻,ngay lập tức,lìkè,请大家立刻到会议室去!,mời mọi người đến phòng họp ngay lập tức!
各,"mỗi, các",gè,这人真各。,người này thật đặc biệt.
抱负,"tham vọng, hoài bão",bàofù,远大抱负,hoài bão lớn lao
上任,nhậm chức,shàngrèn,走马上任。,quan lại nhậm chức.
性感,"gợi cảm, hấp dẫn, khiêu gợi",xìnggǎn,,
罕见,"hiếm thấy, ít, ít thấy",hǎnjiàn,人迹罕见,ít có dấu chân người; ít thấy người vãng lai.
津津有味,"mùi thơm, mùi ngon",jīnjīnyǒuwèi,,
本事,khả năng,běnshì,本事诗。,thơ kể chuyện
缘故,"nguyên do, duyên cớ",yuángù,他到这时候还没来，不知什么缘故。,"đến giờ này mà anh ấy vẫn chưa đến, không biết vì nguyên cớ gì."
站,đứng,zhàn,请大家坐着，不要站起来。,"xin mọi người ngồi yên, không nên đứng dậy."
赤道,xích đạo,chìdào,,
用户,người sử dụng,yònghù,竭诚为用户服务。,hết lòng phục vụ người tiêu dùng.
